2026-04-04 19:18:21.366 [main] INFO  com.cy.ServerApplication - Starting ServerApplication v0.0.1-SNAPSHOT using Java 21.0.6 with PID 3012 (D:\Code\Project\Heat_Recognition_System\backend\server\target\server-0.0.1-SNAPSHOT.jar started by ChenYang in D:\Code\Project\Heat_Recognition_System\backend\server\target)
2026-04-04 19:18:21.369 [main] DEBUG com.cy.ServerApplication - Running with Spring Boot v3.5.6, Spring v6.2.11
2026-04-04 19:18:21.370 [main] INFO  com.cy.ServerApplication - The following 1 profile is active: "dev"
2026-04-04 19:18:23.264 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-04 19:18:23.269 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-04 19:18:23.326 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 0 Redis repository interfaces.
2026-04-04 19:18:24.727 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-04 19:18:24.786 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-04 19:18:24.791 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-04 19:18:24.792 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.46]
2026-04-04 19:18:24.942 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-04 19:18:24.943 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3473 ms
2026-04-04 19:18:26.441 [main] INFO  com.cy.config.OssConfiguration - 开始创建阿里云文件上传工具类对象......
2026-04-04 19:18:28.281 [main] INFO  com.cy.config.RedisConfiguration - 开始创建Redis模板对象
2026-04-04 19:18:28.573 [main] INFO  com.cy.config.WebMvcConfiguration - 开始注册自定义拦截器...
2026-04-04 19:18:29.623 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-04 19:18:29.658 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-04-04 19:18:29.683 [main] INFO  com.cy.ServerApplication - Started ServerApplication in 9.489 seconds (process running for 10.574)
